zone_id,venue,symbol,date,confirmedTs,confirmed_iso,direction,setup_type,regime,prior_move_1d,prior_move_60m_pct,eng_ofi,supportive_taker_imb_15m,microprice_aligned_5m,eng_void,thin_path_score,large_walls,reclaim_zoneMid,buyer_absorption,conf_rejection,conf_taker_sell,conf_microprice,conf_thin,confluence_count,cluster_id,cooldown_state,zoneLow,zoneHigh,hypo_entry,tp_2pct,sl_1_5pct,mandatory_pass,reject_reasons,hybrid_decision,m4_thin_decision,final_shadow_decision
BTCUSDT-LONG-1779321652000-1,BINANCE_MAY,BTCUSDT,2026-05-21,1779322191000,2026-05-21T00:09:51+00:00,LONG,ACCUMULATION,RANGE,0.112,0.112,-0.1671411463048484,0.2889,0.227,0.17518021037309883,0.1018,19,0,0,0,1,1,0,2,BINANCE_MAY_LONG_777,CLEAR,77557.10205,77658.2,77706.95,76152.81,78872.55,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779323772000-3,BINANCE_MAY,BTCUSDT,2026-05-21,1779323952000,2026-05-21T00:39:12+00:00,SHORT,DISTRIBUTION,RANGE,0.2254,0.2254,-0.30941691291720685,-0.0929,0.094,0.08741608396794676,0.107,3,0,0,0,0,1,0,1,BINANCE_MAY_SHORT_776,CLEAR,77650.005575,77727.69442500001,77688.85,76135.07,78854.18,0,not_TREND_DOWN;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779323426000-2,BINANCE_MAY,BTCUSDT,2026-05-21,1779324154000,2026-05-21T00:42:34+00:00,LONG,ACCUMULATION,RANGE,0.2105,0.2105,-0.310690541534475,0.0101,0.421,0.10094765956072849,0.1005,20,0,0,0,1,1,0,2,BINANCE_MAY_LONG_777,CLEAR,77654.703225,77732.396775,77787.95,76232.19,78954.77,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779325402000-5,BINANCE_MAY,BTCUSDT,2026-05-21,1779325623000,2026-05-21T01:07:03+00:00,LONG,ACCUMULATION,RANGE,0.5502,0.5154,-0.44559974641224487,0.1755,0.002,0.5237725392039939,0.0995,22,1,0,1,1,1,0,3,BINANCE_MAY_LONG_780,CLEAR,77888.65,77971.616325,78097.05,76535.11,79268.51,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779325094000-4,BINANCE_MAY,BTCUSDT,2026-05-21,1779326244000,2026-05-21T01:17:24+00:00,SHORT,DISTRIBUTION,RANGE,0.6357,0.4518,-0.4842353074270364,-0.2792,-0.155,0.17371655648824091,0.1075,1,1,1,1,0,0,0,1,BINANCE_MAY_SHORT_773,CLEAR,77888.25,78142.65,77322.35,75775.9,78482.19,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779326244000-6,BINANCE_MAY,BTCUSDT,2026-05-21,1779326866000,2026-05-21T01:27:46+00:00,SHORT,DISTRIBUTION,RANGE,0.4052,0.2159,-0.5332207126569236,-0.1237,6.54,0.39011266199209316,0.1066,1,1,1,1,0,1,0,2,BINANCE_MAY_SHORT_773,CLEAR,77781.05,78053.35717500001,77322.35,75775.9,78482.19,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779326363000-7,BINANCE_MAY,BTCUSDT,2026-05-21,1779326866000,2026-05-21T01:27:46+00:00,SHORT,DISTRIBUTION,RANGE,0.4052,0.2159,-0.25615003612749315,-0.1237,6.54,0.39011266199209316,0.1066,1,1,1,1,0,1,0,2,BINANCE_MAY_SHORT_772,CLEAR,77781.05,77899.95,77220.05,75675.65,78378.35,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779326696000-8,BINANCE_MAY,BTCUSDT,2026-05-21,1779327220000,2026-05-21T01:33:40+00:00,LONG,ACCUMULATION,RANGE,0.3936,0.1867,-0.2199062451225222,-0.1367,-0.164,0,0.0999,21,0,1,0,0,0,0,0,BINANCE_MAY_LONG_780,CLEAR,77781.05,77899.08007499999,78044.95,76484.05,79215.62,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779331245000-9,BINANCE_MAY,BTCUSDT,2026-05-21,1779332166000,2026-05-21T02:56:06+00:00,LONG,ACCUMULATION,RANGE,0.5547,0.1606,-0.41423423558518535,0.0047,-0.002,0.3795153979939432,0.1,21,0,0,0,1,0,0,1,BINANCE_MAY_LONG_780,CLEAR,77911.55,78032.946975,78085.55,76523.84,79256.83,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779342844000-10,BINANCE_MAY,BTCUSDT,2026-05-21,1779343024000,2026-05-21T05:57:04+00:00,SHORT,DISTRIBUTION,RANGE,0.2935,-0.2856,0.18617865286326907,0.1398,1.944,0.4219923175415663,0.1055,5,0,0,0,1,1,0,2,BINANCE_MAY_SHORT_776,CLEAR,77706.877125,77784.622875,77610.05,76057.85,78774.2,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779344451000-11,BINANCE_MAY,BTCUSDT,2026-05-21,1779346366000,2026-05-21T06:52:46+00:00,LONG,ACCUMULATION,RANGE,0.0835,-0.2357,0.17186157733889593,-0.1685,0.191,0,0.1009,14,0,1,0,0,1,0,1,BINANCE_MAY_LONG_778,CLEAR,77523.75,77827.05,77866.75,76309.41,79034.75,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779346581000-12,BINANCE_MAY,BTCUSDT,2026-05-21,1779346802000,2026-05-21T07:00:02+00:00,SHORT,DISTRIBUTION,RANGE,0.0606,-0.2842,0.1974194213650275,0.0829,-0.164,0.3792174601374606,0.1056,4,0,0,0,1,0,0,1,BINANCE_MAY_SHORT_775,CLEAR,77500.080575,77594.95,77547.52,75996.56,78710.73,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779357069000-14,BINANCE_MAY,BTCUSDT,2026-05-21,1779358322000,2026-05-21T10:12:02+00:00,SHORT,DISTRIBUTION,RANGE,0.1235,-0.3843,0.21089560863836293,0.097,0.003,0.3783690576844938,0.105,5,1,1,1,1,1,0,3,BINANCE_MAY_SHORT_775,CLEAR,77585.05,77692.576875,77523.95,75973.47,78686.81,0,not_TREND_DOWN;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779359582000-16,BINANCE_MAY,BTCUSDT,2026-05-21,1779359899000,2026-05-21T10:38:19+00:00,SHORT,DISTRIBUTION,RANGE,-0.2242,-0.4811,0.09211558487763832,0.0444,0.929,0.22250847911616967,0.1053,6,1,0,1,1,1,0,3,BINANCE_MAY_SHORT_768,CLEAR,77276.592375,77418.35,76810.95,75274.73,77963.11,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779359514000-15,BINANCE_MAY,BTCUSDT,2026-05-21,1779359899000,2026-05-21T10:38:19+00:00,SHORT,DISTRIBUTION,RANGE,-0.2242,-0.4811,0.17127451040594313,0.0444,0.929,0.22250847911616967,0.1053,6,0,0,0,1,1,0,2,BINANCE_MAY_SHORT_772,CLEAR,77166.847275,77418.35,77292.6,75746.75,78451.99,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779360866000-17,BINANCE_MAY,BTCUSDT,2026-05-21,1779361051000,2026-05-21T10:57:31+00:00,LONG,ACCUMULATION,RANGE,-0.4281,-0.5972,0.1821990999097461,-0.1546,0.803,0,0.1035,8,0,1,0,0,1,0,1,BINANCE_MAY_LONG_772,CLEAR,77160.15,77270.35,77215.25,75670.94,78373.48,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779362883000-18,BINANCE_MAY,BTCUSDT,2026-05-21,1779363742000,2026-05-21T11:42:22+00:00,LONG,ACCUMULATION,RANGE,-0.3902,-0.0881,0.10145127529491052,-0.1171,1.172,0,0.1033,9,0,1,0,0,1,0,1,BINANCE_MAY_LONG_772,CLEAR,77182.35,77342.75,77262.55,75717.3,78421.49,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779366351000-19,BINANCE_MAY,BTCUSDT,2026-05-21,1779366692000,2026-05-21T12:31:32+00:00,LONG,ACCUMULATION,RANGE,-0.5191,-0.2846,0.08437464552413017,-0.2797,1.191,0,0.1039,8,1,1,1,0,1,0,2,BINANCE_MAY_LONG_774,CLEAR,77043.55,77166.714075,77453.45,75904.38,78615.25,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779371170000-20,BINANCE_MAY,BTCUSDT,2026-05-21,1779371350000,2026-05-21T13:49:10+00:00,LONG,ACCUMULATION,RANGE,-0.9266,-0.6221,0.16356236821848322,-0.1745,10.126,0.05813769963120363,0.1053,6,0,1,0,0,1,0,1,BINANCE_MAY_LONG_777,CLEAR,76800.05,76943.05,77732.15,76177.51,78898.13,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779371350000-21,BINANCE_MAY,BTCUSDT,2026-05-21,1779372024000,2026-05-21T14:00:24+00:00,LONG,ACCUMULATION,RANGE,-0.5179,-0.2079,0.14351598080926709,0.0679,2.247,0,0.1036,9,1,0,1,1,1,0,3,BINANCE_MAY_LONG_777,CLEAR,76743.25,77165.25,77794.25,76238.37,78961.16,0,not_TREND_DOWN;not_SHORT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779371412000-22,BINANCE_MAY,BTCUSDT,2026-05-21,1779372363000,2026-05-21T14:06:03+00:00,SHORT,DISTRIBUTION,RANGE,-0.535,-0.2511,0.17689867481058716,-0.0398,1.133,0,0.1045,8,0,0,0,0,1,0,1,BINANCE_MAY_SHORT_769,CLEAR,76734.063775,77215.45,76974.76,75435.26,78129.38,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779372363000-23,BINANCE_MAY,BTCUSDT,2026-05-21,1779375487000,2026-05-21T14:58:07+00:00,SHORT,DISTRIBUTION,RANGE,-0.7536,-0.129,-0.026508197122268273,0.0338,2.983,0.0338788096856415,0.1027,11,1,0,1,1,1,0,3,BINANCE_MAY_SHORT_769,CLEAR,76747.15,77174.15,76960.65,75421.44,78115.06,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779378060000-24,BINANCE_MAY,BTCUSDT,2026-05-21,1779379403000,2026-05-21T16:03:23+00:00,LONG,ACCUMULATION,RANGE,-0.411,0.283,-0.025458090057007755,-0.139,-0.038,0,0.1029,13,0,1,0,0,0,0,0,BINANCE_MAY_LONG_774,CLEAR,77122.15,77368.95,77415.45,75867.14,78576.68,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779391977000-25,BINANCE_MAY,BTCUSDT,2026-05-21,1779393302000,2026-05-21T19:55:02+00:00,SHORT,DISTRIBUTION,RANGE,0.1523,0.5072,-0.05499420742456944,-0.1748,-0.254,0,0.1058,5,0,1,0,0,0,0,0,BINANCE_MAY_SHORT_776,CLEAR,77490.85,77777.15,77634.0,76081.32,78798.51,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779409025000-1,BINANCE_MAY,BTCUSDT,2026-05-22,1779409226000,2026-05-22T00:20:26+00:00,SHORT,DISTRIBUTION,RANGE,-0.1865,-0.152,0.29458267517085346,0.0368,-6.081,0.1820298671913687,0.1057,5,0,1,0,1,0,0,1,BINANCE_MAY_SHORT_772,CLEAR,77254.70332500001,77331.996675,77213.05,75668.79,78371.25,0,not_TREND_DOWN;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779411938000-2,BINANCE_MAY,BTCUSDT,2026-05-22,1779412118000,2026-05-22T01:08:38+00:00,SHORT,DISTRIBUTION,RANGE,-0.7463,-0.1856,0.23910121836491527,0.093,-3.776,0.21999267389390387,0.1046,5,0,1,0,1,0,0,1,BINANCE_MAY_SHORT_771,CLEAR,77194.28355,77271.51645,77154.45,75611.36,78311.77,0,not_TREND_DOWN;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779414465000-3,BINANCE_MAY,BTCUSDT,2026-05-22,1779414645000,2026-05-22T01:50:45+00:00,SHORT,DISTRIBUTION,RANGE,-0.3536,0.2592,0.36769580629672777,-0.3254,-16.726,0.10490701689664661,0.1056,4,0,1,0,0,0,0,0,BINANCE_MAY_SHORT_772,CLEAR,77312.92420000001,77390.2758,77274.05,75728.57,78433.16,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779416443000-4,BINANCE_MAY,BTCUSDT,2026-05-22,1779416623000,2026-05-22T02:23:43+00:00,SHORT,DISTRIBUTION,RANGE,-0.4915,0.2677,0.5339892290334477,-0.1741,4.079,0.16048946062093405,0.1054,4,0,1,0,0,1,0,1,BINANCE_MAY_SHORT_773,CLEAR,77374.44342499999,77451.856575,77330.1,75783.5,78490.05,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779422839000-5,BINANCE_MAY,BTCUSDT,2026-05-22,1779423019000,2026-05-22T04:10:19+00:00,SHORT,DISTRIBUTION,RANGE,-0.1702,0.1875,0.8231903283156067,-0.2236,-6.677,0.3676856332381421,0.1049,7,0,1,0,0,0,0,0,BINANCE_MAY_SHORT_773,CLEAR,77435.213025,77512.68697500002,77382.2,75834.56,78542.93,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779440811000-6,BINANCE_MAY,BTCUSDT,2026-05-22,1779441142000,2026-05-22T09:12:22+00:00,SHORT,DISTRIBUTION,RANGE,-0.91,-0.226,0.18557005414904118,0.0251,-1.546,0.2761582787136133,0.1029,12,0,0,0,1,0,0,1,BINANCE_MAY_SHORT_770,CLEAR,77136.31254999999,77213.48745,77088.25,75546.49,78244.57,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779456909000-9,BINANCE_MAY,BTCUSDT,2026-05-22,1779457106000,2026-05-22T13:38:26+00:00,LONG,ACCUMULATION,RANGE,0.1657,-0.3032,0.17468051462713585,-0.1907,0.817,0,0.1026,13,0,1,0,0,1,0,1,BINANCE_MAY_LONG_771,CLEAR,77151.55,77247.354375,77199.45,75655.46,78357.44,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779459206000-11,BINANCE_MAY,BTCUSDT,2026-05-22,1779459471000,2026-05-22T14:17:51+00:00,SHORT,DISTRIBUTION,RANGE,0.0574,-0.6073,0.14091827933003856,0.0732,12.619,0.05940269461899306,0.1016,15,1,0,1,1,1,0,3,BINANCE_MAY_SHORT_768,CLEAR,76985.45,77088.575025,76877.75,75340.19,78030.92,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779458993000-10,BINANCE_MAY,BTCUSDT,2026-05-22,1779460031000,2026-05-22T14:27:11+00:00,LONG,ACCUMULATION,RANGE,-0.1462,-0.6245,0.14894482821897423,-0.1275,-0.066,0,0.1038,9,0,1,0,0,0,0,0,BINANCE_MAY_LONG_769,CLEAR,76736.65,77107.284375,76921.97,75383.53,78075.8,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779460506000-12,BINANCE_MAY,BTCUSDT,2026-05-22,1779460686000,2026-05-22T14:38:06+00:00,SHORT,DISTRIBUTION,RANGE,-0.4676,-0.54,-0.22650510133662152,-0.0647,-0.015,0.4671905016642407,0.1007,20,1,0,1,0,0,0,1,BINANCE_MAY_SHORT_765,CLEAR,76758.651475,76835.448525,76545.75,75014.83,77693.94,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779461413000-13,BINANCE_MAY,BTCUSDT,2026-05-22,1779461593000,2026-05-22T14:53:13+00:00,SHORT,DISTRIBUTION,RANGE,-0.2595,-0.5343,0.052577438229287614,-0.4115,3.259,0.4684300887345769,0.101,21,0,1,0,0,1,0,1,BINANCE_MAY_SHORT_761,CLEAR,76697.881875,76774.618125,76140.1,74617.3,77282.2,0,not_TREND_DOWN;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779464653000-14,BINANCE_MAY,BTCUSDT,2026-05-22,1779465494000,2026-05-22T15:58:14+00:00,LONG,ACCUMULATION,RANGE,-0.575,-0.0001,0.32607805336607465,0.069,2.243,0,0.1041,10,1,1,1,1,1,0,3,BINANCE_MAY_LONG_769,CLEAR,76625.05,76789.95,76962.95,75423.69,78117.39,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779465008000-15,BINANCE_MAY,BTCUSDT,2026-05-22,1779465598000,2026-05-22T15:59:58+00:00,SHORT,DISTRIBUTION,RANGE,-0.606,0.0283,0.26250277294290886,-0.1142,0.454,0.17717965383944556,0.1028,14,0,1,0,0,1,0,1,BINANCE_MAY_SHORT_765,CLEAR,76625.05,76791.35,76584.35,75052.66,77733.12,0,not_TREND_DOWN;prior_60m_not_negative;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779467230000-16,BINANCE_MAY,BTCUSDT,2026-05-22,1779467926000,2026-05-22T16:38:46+00:00,SHORT,DISTRIBUTION,RANGE,-0.1945,0.2145,0.058887430126850826,-0.0401,-0.051,0,0.1023,16,0,0,0,0,0,0,0,BINANCE_MAY_SHORT_767,CLEAR,76819.720925,76936.65,76778.35,75242.78,77930.03,0,not_TREND_DOWN;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779476321000-17,BINANCE_MAY,BTCUSDT,2026-05-22,1779476501000,2026-05-22T19:01:41+00:00,LONG,ACCUMULATION,RANGE,-1.0894,-0.2336,0.09978802199711254,0.1249,0.815,0.12542875559150557,0.1058,6,1,0,1,1,1,0,3,BINANCE_MAY_LONG_764,CLEAR,76441.809975,76554.05,76497.93,74967.97,77645.4,0,not_TREND_DOWN;not_SHORT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779476493000-18,BINANCE_MAY,BTCUSDT,2026-05-22,1779477261000,2026-05-22T19:14:21+00:00,LONG,ACCUMULATION,RANGE,-1.6573,-0.7221,0.044915182450126184,-0.2457,0.646,0.28497933186671975,0.108,3,0,1,0,0,1,0,1,BINANCE_MAY_LONG_763,CLEAR,76177.15,76592.327025,76384.74,74857.04,77530.51,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779477261000-19,BINANCE_MAY,BTCUSDT,2026-05-22,1779477442000,2026-05-22T19:17:22+00:00,LONG,ACCUMULATION,RANGE,-1.6231,-0.7747,0.22068815431727196,-0.2353,-0.024,0.29685175723155355,0.1079,2,0,1,0,0,0,0,0,BINANCE_MAY_LONG_762,CLEAR,76170.245825,76308.25,76239.25,74714.46,77382.84,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779478080000-20,BINANCE_MAY,BTCUSDT,2026-05-22,1779479185000,2026-05-22T19:46:25+00:00,SHORT,DISTRIBUTION,RANGE,-2.4651,-0.7091,0.1306254461552012,0.0168,2.284,0.5199397141071032,0.1015,17,1,0,1,1,1,0,3,BINANCE_MAY_SHORT_755,CLEAR,75620.35,76330.49617500001,75527.75,74017.19,76660.67,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779478203000-21,BINANCE_MAY,BTCUSDT,2026-05-22,1779479185000,2026-05-22T19:46:25+00:00,SHORT,DISTRIBUTION,RANGE,-2.4651,-0.7091,0.18754436634478208,0.0168,2.284,0.5199397141071032,0.1015,17,1,0,1,1,1,0,3,BINANCE_MAY_SHORT_755,CLEAR,75620.35,76245.853875,75527.75,74017.19,76660.67,0,not_TREND_DOWN,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779479332000-22,BINANCE_MAY,BTCUSDT,2026-05-22,1779480095000,2026-05-22T20:01:35+00:00,LONG,ACCUMULATION,RANGE,-2.2912,-0.83,0.24199445790082189,0.038,-0.052,0.39558762887568155,0.1077,3,1,1,1,1,0,0,2,BINANCE_MAY_LONG_756,CLEAR,75328.75,76054.05,75691.4,74177.57,76826.77,0,not_TREND_DOWN;not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779480095000-23,BINANCE_MAY,BTCUSDT,2026-05-22,1779480275000,2026-05-22T20:04:35+00:00,LONG,ACCUMULATION,RANGE,-2.3161,-0.752,0.0903002816035859,0.0671,3.944,0.42239886265347326,0.1079,4,0,0,0,1,1,0,2,BINANCE_MAY_LONG_758,CLEAR,75822.65,75935.098575,75878.87,74361.3,77017.06,0,not_TREND_DOWN;not_SHORT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779483676000-24,BINANCE_MAY,BTCUSDT,2026-05-22,1779484637000,2026-05-22T21:17:17+00:00,LONG,ACCUMULATION,RANGE,-2.2666,0.0636,0.12033137931564225,0.005,1.536,0.29242676741383833,0.1078,4,1,0,1,1,1,0,3,BINANCE_MAY_LONG_759,CLEAR,75925.15,76004.333175,75964.74,74445.45,77104.21,0,not_TREND_DOWN;not_SHORT;prior_60m_not_negative,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-SHORT-1779494198000-27,BINANCE_MAY,BTCUSDT,2026-05-22,1779494378000,2026-05-22T23:59:38+00:00,SHORT,DISTRIBUTION,TREND_DOWN,-2.6645,-0.2589,0.11367092895925156,0.1708,3.381,0.11336258946831457,0.1039,9,1,0,1,1,1,0,3,BINANCE_MAY_SHORT_755,CLEAR,75507.35,75582.92257499999,75545.14,74034.23,76678.31,1,,HYBRID_PASS,M4_THIN_ONLY_REJECT,ACCEPT
BTCUSDT-LONG-1779494431000-1,BINANCE_MAY,BTCUSDT,2026-05-23,1779494843000,2026-05-23T00:07:23+00:00,LONG,ACCUMULATION,TREND_DOWN,-2.6094,-0.355,-0.9793417233974,-0.043,-7.005,0.9149587991802913,0.1087,8,0,0,0,0,0,0,0,BINANCE_MAY_LONG_763,CLEAR,76272.994425,76367.5,76320.25,74793.84,77465.05,0,not_SHORT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779496376000-2,BINANCE_MAY,BTCUSDT,2026-05-23,1779496556000,2026-05-23T00:35:56+00:00,LONG,ACCUMULATION,TREND_DOWN,-2.8016,-0.4647,-0.9902697584403919,-0.1826,-8.511,0.8989927491744377,0.108,6,0,1,0,0,0,0,0,BINANCE_MAY_LONG_762,CLEAR,76189.73607500001,76277.85,76233.79,74709.12,77377.3,0,not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779496841000-3,BINANCE_MAY,BTCUSDT,2026-05-23,1779497021000,2026-05-23T00:43:41+00:00,LONG,ACCUMULATION,TREND_DOWN,-2.8197,-0.6972,-0.9905550233043866,-0.2214,0.307,0.9078924795914421,0.1079,6,0,1,0,0,1,0,1,BINANCE_MAY_LONG_761,CLEAR,76130.61564999999,76209.9,76170.26,74646.85,77312.81,0,not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779522387000-4,BINANCE_MAY,BTCUSDT,2026-05-23,1779522567000,2026-05-23T07:49:27+00:00,LONG,ACCUMULATION,TREND_DOWN,-3.0189,-0.3698,-0.9939095556554398,-0.0083,-23.068,0.9323914651486678,0.1034,12,0,0,0,0,0,0,0,BINANCE_MAY_LONG_762,CLEAR,76032.35,76146.104025,76216.4,74692.07,77359.65,0,not_SHORT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779522735000-5,BINANCE_MAY,BTCUSDT,2026-05-23,1779522915000,2026-05-23T07:55:15+00:00,LONG,ACCUMULATION,TREND_DOWN,-3.7112,-1.1422,-0.9937487465426821,-0.1275,-64.738,0.9421874952795523,0.1055,9,0,1,0,0,0,0,0,BINANCE_MAY_LONG_765,CLEAR,75718.4,77374.95,76546.67,75015.74,77694.88,0,not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779522811000-6,BINANCE_MAY,BTCUSDT,2026-05-23,1779523663000,2026-05-23T08:07:43+00:00,LONG,ACCUMULATION,TREND_DOWN,-3.6394,-0.9657,-0.9940121014991941,0.1099,-10.34,0.946295843202713,0.1041,13,0,0,0,1,0,0,1,BINANCE_MAY_LONG_765,CLEAR,75718.4,77374.95,76546.67,75015.74,77694.88,0,not_SHORT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
BTCUSDT-LONG-1779525537000-7,BINANCE_MAY,BTCUSDT,2026-05-23,1779525717000,2026-05-23T08:41:57+00:00,LONG,ACCUMULATION,TREND_DOWN,-3.7451,-1.184,-0.9944242177355705,-0.1846,-10.763,0.9529343129381271,0.1039,13,0,1,0,0,0,0,0,BINANCE_MAY_LONG_758,CLEAR,75706.02805,75781.77195,75869.6,74352.21,77007.64,0,not_SHORT;buyer_absorption,HYBRID_REJECT,M4_THIN_ONLY_REJECT,REJECT
