metric,value
zones_total,27
zones_triggered,16
zones_reached,1
hit_rate_among_triggered,0.0625
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9400
suppressions_active_open,5623
suppressions_active_triggered,3777
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,1
unique_reached_moves,1
duplicate_move_credits,0
raw_triggered_hit_rate,0.0625
unique_move_adjusted_hit_rate,0.0625
status_RESOLVED_FAILED,15
direction_SHORT,14
direction_LONG,13
status_INVALIDATED,10
status_RESOLVED_REACHED,1
status_NO_TRIGGER,1
