metric,value
zones_total,33
zones_triggered,16
zones_reached,1
hit_rate_among_triggered,0.0625
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,12853
suppressions_active_open,9085
suppressions_active_triggered,3768
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,1
unique_reached_moves,1
duplicate_move_credits,0
raw_triggered_hit_rate,0.0625
unique_move_adjusted_hit_rate,0.0625
status_RESOLVED_FAILED,15
direction_LONG,19
status_RESOLVED_REACHED,1
direction_SHORT,14
status_EXPIRED,1
status_INVALIDATED,11
status_NO_TRIGGER,5
