date,direction,setup_type,entry_time,entry_price,exit_reason,outcome,class,pnl_after_cost,pnl_pre_cost,mfe_pct,mae_pct,dist_to_recent_swing_high_pct,dl2_supp_minus_opp_net_flow_15m,ms_thin_path_score,ms_large_walls_on_path,dl2_microprice_aligned_delta_5m_bps,funding_rate_at_signal,_score,_p_reach,_ev
2026-05-21,SHORT,DISTRIBUTION,2026-05-21T01:27:46+00:00,77834.0,timeout,TIMEOUT,correct_dir_no_2pct,0.371,0.510959,1.461187,0.444536,0.406,-414.439,0.1066,1,6.54,2.376e-05,1.3352,0.63,0.565
2026-05-22,SHORT,DISTRIBUTION,2026-05-22T02:23:43+00:00,77630.5,target_2pct,WIN,win_2pct,1.86,2.0,2.019052,0.299109,0.0868,-37.543,0.1044,6,,4.135e-05,0.7197,0.6,0.46
2026-05-23,LONG,ACCUMULATION,2026-05-23T00:07:23+00:00,75497.2,stop,LOSS,stop_wrong_dir,-1.64,-1.5,0.180801,1.519527,0.157,1651.095,0.1075,9,0.0,1.984e-05,0.7897,0.58,0.39
2026-05-24,SHORT,DISTRIBUTION,2026-05-24T00:11:31+00:00,76649.1,timeout,TIMEOUT,timeout_wrong_dir,-0.76,-0.619968,0.773786,1.240589,0.1648,-3020.726,0.1034,6,-0.0,9.055e-05,0.3741,0.57,0.355
2026-05-25,SHORT,DISTRIBUTION,2026-05-25T00:04:33+00:00,77137.2,timeout,TIMEOUT,timeout_wrong_dir,-0.2715,-0.131454,0.344581,0.973201,0.0372,2145.759,0.109,5,,6.473e-05,0.7611,0.6,0.46
2026-05-26,LONG,ACCUMULATION,2026-05-26T00:26:46+00:00,77096.8,stop,LOSS,stop_wrong_dir,-1.64,-1.5,1.271518,1.509531,0.289,720.849,0.1016,17,,7.398e-05,0.7236,0.55,0.285
2026-05-27,LONG,ACCUMULATION,2026-05-27T02:06:06+00:00,75794.4,stop,LOSS,stop_wrong_dir,-1.64,-1.5,0.47642,1.503277,0.382,273.953,0.1017,14,,0.0001,0.7229,0.55,0.285
