metric,value
zones_total,24
zones_triggered,14
zones_reached,0
hit_rate_among_triggered,0
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9217
suppressions_active_open,8064
suppressions_cooldown,1
suppressions_active_triggered,1152
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,0
unique_reached_moves,0
duplicate_move_credits,0
raw_triggered_hit_rate,0
unique_move_adjusted_hit_rate,0
status_RESOLVED_FAILED,14
direction_SHORT,14
status_EXPIRED,1
direction_LONG,10
status_INVALIDATED,5
status_NO_TRIGGER,4
